X,Y,Z_prev,variance_ratio,Variance_sq,is_improving,direction,dVariance_abs,target_step
-13000,4333,300,1.032307154,8097.436714,1,1,2.816200315,174
-13000,4333,2474,1,928.5024314,0,1,0,-2000
-13000,4333,2674,0.989611948,909.3119653,0,1,0.31653783,-2200
-13000,4333,2674,1,903.1084031,0,1,0,-2200
-13000,4333,2874,1.001379681,905.6021247,1,1,0.041461837,-2400
-13000,4333,100,1,7656.002958,0,1,0,374
-13000,4333,300,0.972501769,7240.73899,0,1,2.406056393,174
-13000,4333,100,1,6080.905242,0,1,0,374
-13000,4333,300,1.09256719,7258.795218,1,1,7.21840419,174
-13000,4333,2874,1,888.4141323,0,1,0,-2400
-13000,4333,3074,1.004290659,896.0542519,1,1,0.127888568,-2600
-13000,4333,3074,1,899.70393,0,1,0,-2600
-13000,4333,3274,1.001610577,902.6043492,1,1,0.04830937,-2800
-13000,4333,100,1,7180.841464,0,1,0,374
-13000,4333,300,1.054792914,7989.318699,1,1,4.643143083,174
-13000,4333,100,1,7483.719764,0,1,0,374
-13000,4333,300,1.001469301,7505.727599,1,1,0.127107046,174
-13000,4333,3274,1,908.4405597,0,1,0,-2800
-13000,4333,3474,0.974831293,863.2874757,0,1,0.758593576,-3000
-13000,4333,3474,1,875.7257436,0,1,0,-3000
-13000,4333,3674,0.970431708,824.7039481,0,1,0.875004509,-3200
-13000,4333,100,1,7768.782534,0,1,0,374
-13000,4333,300,1.012437751,7963.236711,1,1,1.096272043,174
-13000,4333,100,1,6997.935167,0,1,0,374
-13000,4333,300,1.034869671,7494.475311,1,1,2.916975687,174
-13000,4333,3674,1,843.0559926,0,1,0,-3200
-13000,4333,3874,0.990600735,827.2822607,0,1,0.272911658,-3400
-13000,4333,100,1,7481.396931,0,1,0,374
-13000,4333,300,0.925033323,6401.731473,0,1,6.484247854,174
-13000,4333,3874,1,826.9203622,0,1,0,-3400
-13000,4333,4074,0.992559554,814.6608277,0,1,0.213959131,-3600
-13000,4333,4074,1,811.3568848,0,1,0,-3600
-13000,4333,4274,0.999474191,810.5038725,0,1,0.014977301,-3800
-13000,4333,100,1,7486.784401,0,1,0,374
-13000,4333,300,0.994282794,7401.422137,0,1,0.494688167,174
-13000,4333,100,1,7259.918717,0,1,0,374
-13000,4333,300,1.007814518,7373.82759,1,1,0.665837249,174
-13000,4333,4274,1,826.5849499,0,1,0,-3800
-13000,4333,4474,0.984738868,801.5482196,0,1,0.438763497,-4000
-13000,4333,4474,1,796.7984475,0,1,0,-4000
-13000,4333,4674,1.001597978,799.3470157,1,1,0.045107127,-4200
-13000,4333,100,1,7551.675545,0,1,0,374
-13000,4333,300,1.002820628,7594.336558,1,1,0.245113625,174
-13000,4333,100,1,7469.556906,0,1,0,374
-13000,4333,300,0.989453118,7312.82672,0,1,0.911531162,174
-13000,4333,6474,1,776.5153489,0,1,0,-6000
-13000,4333,6674,1.013331688,797.3578825,1,1,0.371501146,-6200
-13000,4333,100,1,6223.34288,0,1,0,374
-13000,4333,300,0.875981128,4775.438206,0,1,9.783621442,174
-13000,4333,8474,1,835.66893,0,1,0,-8000
-13000,4333,8674,0.9941146,825.8613837,0,1,0.17013479,-8200
-13000,13000,127,1,3514.759269,0,1,0,0
-13000,13000,327,1.008400542,3574.059071,1,1,0.498029563,-200
-13000,13000,132,1,5719.020657,0,1,0,-5
-13000,13000,332,0.983335385,5529.998333,0,1,1.260248261,-205
-13000,13000,122,1,3628.542671,0,1,0,5
-13000,13000,322,1.137595106,4695.779164,1,1,8.288369485,-195
-13000,13000,137,1,5778.263234,0,1,0,-10
-13000,13000,337,0.943360004,5142.238806,0,1,4.305482957,-210
-13000,13000,117,1,6051.732727,0,1,0,10
-13000,13000,317,0.95251315,5490.623938,0,1,3.694139017,-190
-13000,13000,142,1,6205.971642,0,1,0,-15
-13000,13000,342,0.984001898,6008.99246,0,1,1.260298309,-215
